REGION_RESIDENCIA,GLOSA_REGION_RESIDENCIA,variable,nulos,nacimientos,pct_nulos
10,De Los Lagos,CATEG_MADRE,0,34492,0.0
10,De Los Lagos,NACIONALIDAD_MADRE,0,34492,0.0
11,De Aisén del Gral. C. Ibáñez del Campo,MES_NAC,0,4050,0.0
11,De Aisén del Gral. C. Ibáñez del Campo,ANO_NAC,0,4050,0.0
11,De Aisén del Gral. C. Ibáñez del Campo,SEXO,0,4050,0.0
11,De Aisén del Gral. C. Ibáñez del Campo,TIPO_PARTO,0,4050,0.0
11,De Aisén del Gral. C. Ibáñez del Campo,TIPO_ATEN,0,4050,0.0
11,De Aisén del Gral. C. Ibáñez del Campo,PARTO_LOCAL,0,4050,0.0
11,De Aisén del Gral. C. Ibáñez del Campo,SEMANAS,16,4050,0.3950617283950617
11,De Aisén del Gral. C. Ibáñez del Campo,RANGO_PESO,0,4050,0.0
11,De Aisén del Gral. C. Ibáñez del Campo,TALLA,16,4050,0.3950617283950617
11,De Aisén del Gral. C. Ibáñez del Campo,GRUPO_ETARIO_PADRE,0,4050,0.0
11,De Aisén del Gral. C. Ibáñez del Campo,CURSO_PADRE,0,4050,0.0
11,De Aisén del Gral. C. Ibáñez del Campo,NIVEL_PADRE,293,4050,7.234567901234568
11,De Aisén del Gral. C. Ibáñez del Campo,ACTIV_PADRE,327,4050,8.074074074074074
11,De Aisén del Gral. C. Ibáñez del Campo,OCUPA_PADRE,0,4050,0.0
11,De Aisén del Gral. C. Ibáñez del Campo,CATEG_PADRE,0,4050,0.0
11,De Aisén del Gral. C. Ibáñez del Campo,GRUPO_ETARIO_MADRE,0,4050,0.0
11,De Aisén del Gral. C. Ibáñez del Campo,EST_CIV_MADRE,0,4050,0.0
11,De Aisén del Gral. C. Ibáñez del Campo,CURSO_MADRE,0,4050,0.0
11,De Aisén del Gral. C. Ibáñez del Campo,NIVEL_MADRE,0,4050,0.0
11,De Aisén del Gral. C. Ibáñez del Campo,ACTIV_MADRE,0,4050,0.0
11,De Aisén del Gral. C. Ibáñez del Campo,OCUPA_MADRE,0,4050,0.0
11,De Aisén del Gral. C. Ibáñez del Campo,CATEG_MADRE,0,4050,0.0
11,De Aisén del Gral. C. Ibáñez del Campo,NACIONALIDAD_MADRE,0,4050,0.0
12,De Magallanes y de La Antártica Chilena,MES_NAC,0,6111,0.0
12,De Magallanes y de La Antártica Chilena,ANO_NAC,0,6111,0.0
12,De Magallanes y de La Antártica Chilena,SEXO,0,6111,0.0
12,De Magallanes y de La Antártica Chilena,TIPO_PARTO,0,6111,0.0
12,De Magallanes y de La Antártica Chilena,TIPO_ATEN,0,6111,0.0
12,De Magallanes y de La Antártica Chilena,PARTO_LOCAL,0,6111,0.0
12,De Magallanes y de La Antártica Chilena,SEMANAS,12,6111,0.19636720667648502
12,De Magallanes y de La Antártica Chilena,RANGO_PESO,0,6111,0.0
12,De Magallanes y de La Antártica Chilena,TALLA,12,6111,0.19636720667648502
12,De Magallanes y de La Antártica Chilena,GRUPO_ETARIO_PADRE,0,6111,0.0
12,De Magallanes y de La Antártica Chilena,CURSO_PADRE,0,6111,0.0
12,De Magallanes y de La Antártica Chilena,NIVEL_PADRE,409,6111,6.692848960890198
12,De Magallanes y de La Antártica Chilena,ACTIV_PADRE,450,6111,7.363770250368188
12,De Magallanes y de La Antártica Chilena,OCUPA_PADRE,0,6111,0.0
12,De Magallanes y de La Antártica Chilena,CATEG_PADRE,0,6111,0.0
12,De Magallanes y de La Antártica Chilena,GRUPO_ETARIO_MADRE,0,6111,0.0
12,De Magallanes y de La Antártica Chilena,EST_CIV_MADRE,0,6111,0.0
12,De Magallanes y de La Antártica Chilena,CURSO_MADRE,0,6111,0.0
12,De Magallanes y de La Antártica Chilena,NIVEL_MADRE,0,6111,0.0
12,De Magallanes y de La Antártica Chilena,ACTIV_MADRE,0,6111,0.0
12,De Magallanes y de La Antártica Chilena,OCUPA_MADRE,0,6111,0.0
12,De Magallanes y de La Antártica Chilena,CATEG_MADRE,0,6111,0.0
12,De Magallanes y de La Antártica Chilena,NACIONALIDAD_MADRE,0,6111,0.0
13,Metropolitana de Santiago,MES_NAC,0,299408,0.0
13,Metropolitana de Santiago,ANO_NAC,0,299408,0.0
13,Metropolitana de Santiago,SEXO,0,299408,0.0
13,Metropolitana de Santiago,TIPO_PARTO,0,299408,0.0
13,Metropolitana de Santiago,TIPO_ATEN,0,299408,0.0
13,Metropolitana de Santiago,PARTO_LOCAL,0,299408,0.0
13,Metropolitana de Santiago,SEMANAS,162,299408,0.05410677069416983
13,Metropolitana de Santiago,RANGO_PESO,0,299408,0.0
13,Metropolitana de Santiago,TALLA,162,299408,0.05410677069416983
13,Metropolitana de Santiago,GRUPO_ETARIO_PADRE,0,299408,0.0
13,Metropolitana de Santiago,CURSO_PADRE,0,299408,0.0
13,Metropolitana de Santiago,NIVEL_PADRE,19550,299408,6.529551648586544
13,Metropolitana de Santiago,ACTIV_PADRE,23338,299408,7.794714904077379
13,Metropolitana de Santiago,OCUPA_PADRE,0,299408,0.0
13,Metropolitana de Santiago,CATEG_PADRE,0,299408,0.0
13,Metropolitana de Santiago,GRUPO_ETARIO_MADRE,0,299408,0.0
13,Metropolitana de Santiago,EST_CIV_MADRE,0,299408,0.0
13,Metropolitana de Santiago,CURSO_MADRE,0,299408,0.0
13,Metropolitana de Santiago,NIVEL_MADRE,0,299408,0.0
13,Metropolitana de Santiago,ACTIV_MADRE,0,299408,0.0
13,Metropolitana de Santiago,OCUPA_MADRE,0,299408,0.0
13,Metropolitana de Santiago,CATEG_MADRE,0,299408,0.0
13,Metropolitana de Santiago,NACIONALIDAD_MADRE,0,299408,0.0
14,De Los Ríos,MES_NAC,0,14736,0.0
14,De Los Ríos,ANO_NAC,0,14736,0.0
14,De Los Ríos,SEXO,0,14736,0.0
14,De Los Ríos,TIPO_PARTO,0,14736,0.0
14,De Los Ríos,TIPO_ATEN,0,14736,0.0
14,De Los Ríos,PARTO_LOCAL,0,14736,0.0
14,De Los Ríos,SEMANAS,27,14736,0.18322475570032573
14,De Los Ríos,RANGO_PESO,0,14736,0.0
14,De Los Ríos,TALLA,27,14736,0.18322475570032573
14,De Los Ríos,GRUPO_ETARIO_PADRE,0,14736,0.0
14,De Los Ríos,CURSO_PADRE,0,14736,0.0
14,De Los Ríos,NIVEL_PADRE,1024,14736,6.948968512486428
14,De Los Ríos,ACTIV_PADRE,1184,14736,8.034744842562432
14,De Los Ríos,OCUPA_PADRE,0,14736,0.0
14,De Los Ríos,CATEG_PADRE,0,14736,0.0
